Start, End, Origin, Origin Hub, Destination Hub, Destination, Load MT, First Mile KM, Mid Mile KM, Last Mile KM, Total Distance (KM), TTW (KG), WTT (KG), Trans-Shipment (KG), Total CO2e (KG)  
1-Apr-24,30-Apr-24,141001,141001,122413,180010,0.02,0,379.824,654.2,1034.024,3.40939424,0.75756016,0.024,4.1909544
1-Apr-24,30-Apr-24,141001,141001,122413,136118,0.08,0,379.824,220.027,599.851,5.8571968,2.37029768,0.096,8.32349448
1-Apr-24,30-Apr-24,141001,141001,122413,141001,5.69,0,379.824,381.131,760.955,621.92983664,186.00437593,6.828,814.76221257
1-Apr-24,30-Apr-24,141001,141001,122413,160055,0.1,0,379.824,305.732,685.556,9.241288,3.1257116,0.12,12.4869996
1-Apr-24,30-Apr-24,141001,141001,122413,147001,0.25,0,379.824,285.854,665.678,21.990052,7.7198585,0.3,30.0099105
1-Apr-24,30-Apr-24,400057,400057,380001,380009,0.02,0,518.13,2.61,520.74,0.6645366,0.695286,0.024,1.3838226
1-Apr-24,30-Apr-24,400057,400057,400072,444606,0.04,0,6.023,635.725,641.748,5.71127396,0.49929264,0.048,6.2585666
1-Apr-24,30-Apr-24,400057,400057,562111,560067,0.54,0,946.169,102.913,1049.082,44.63702586,35.2882818,0.648,80.57330766
1-Apr-24,30-Apr-24,400057,400057,400072,421302,0.35,0,6.023,41.883,47.906,3.41643435,0.4197613,0.42,4.25619565
1-Apr-24,30-Apr-24,400057,400057,400072,403002,0.74,0,6.023,554.315,560.338,92.16404666,8.09228924,0.888,101.1443359
1-Apr-24,30-Apr-24,400057,400057,380001,380009,0.02,0,518.13,2.61,520.74,0.6645366,0.695286,0.024,1.3838226
1-Apr-24,30-Apr-24,400057,400057,400072,411005,0.07,0,6.023,149.36,155.383,2.36852623,0.22689667,0.084,2.6794229
1-Apr-24,30-Apr-24,400057,400057,380001,360001,0.03,0,518.13,218.582,736.712,2.44813674,1.16603304,0.036,3.65016978
1-Apr-24,30-Apr-24,400057,400057,380001,395009,0.07,0,518.13,262.778,780.908,6.40531234,2.77952444,0.084,9.26883678
1-Apr-24,30-Apr-24,440019,440019,400072,421302,5.12,0,759.998,41.883,801.881,293.17972992,264.78409216,6.144,564.10782208
1-Apr-24,30-Apr-24,440019,440019,400072,462001,0.61,0,759.998,774.929,1534.927,135.0930217,40.04254537,0.732,175.86756707
1-Apr-24,30-Apr-24,440019,440019,520001,522007,9.25,0,687.458,42.096,729.554,487.8390615,433.4504675,11.1,932.389529
1-Apr-24,30-Apr-24,440019,440019,400072,711303,19,0,759.998,1835.621,2595.619,8722.120582,1630.136635,22.8,10375.057217
1-Apr-24,30-Apr-24,440019,440019,520001,500078,32.26,0,687.458,292.685,980.143,3512.18794444,1665.28381426,38.712,5216.1837587
1-Apr-24,30-Apr-24,440019,440019,382475,452010,3.63,0,856.231,401.64,1257.871,522.39298419,235.94505231,4.356,762.6940365
1-Apr-24,30-Apr-24,440019,440019,416811,380009,8.95,0,1062.504,943.236,2005.74,2490.0924132,797.5278054,10.74,3298.3602186
1-Apr-24,30-Apr-24,440019,440019,400072,400057,4.5,0,759.998,6.625,766.623,222.137433,229.7058345,5.4,457.2432675
1-Apr-24,30-Apr-24,440019,440019,400072,440019,46.65,0,759.998,763.58,1523.578,10212.7016901,3052.2108819,55.98,13320.892572
1-Apr-24,30-Apr-24,440019,440019,520001,524004,12.86,0,687.458,290.295,977.753,1393.20011124,663.25824226,15.432,2071.8903535
1-Apr-24,30-Apr-24,440019,440019,416811,411005,0.4,0,1062.504,336.321,1398.825,56.9094624,31.0311468,0.48,88.4206092
1-Apr-24,30-Apr-24,440019,440019,400072,492004,6.24,0,759.998,1055.63,1815.628,1774.28780256,442.89545664,7.488,2224.6712592
1-Apr-24,30-Apr-24,440019,440019,520001,533101,8.57,0,687.458,160.843,848.301,679.93253902,420.92157471,10.284,1111.13811373
1-Apr-24,30-Apr-24,440019,440019,380001,360001,0.05,0,845.689,218.582,1064.271,5.11203875,3.04071105,0.06,8.2127498
1-Apr-24,30-Apr-24,440019,440019,520001,520004,25.12,0,687.458,7.646,695.104,1130.96665696,1160.6685952,30.144,2321.77925216
1-Apr-24,30-Apr-24,440019,440019,520001,530016,7.6,0,687.458,364.173,1051.631,949.1230056,402.6401948,9.12,1360.8832004
1-Apr-24,30-Apr-24,440019,440019,520001,534202,4.53,0,687.458,146.191,833.649,344.53657014,221.23303695,5.436,571.20560709
1-Apr-24,30-Apr-24,562123,562123,134003,173205,1.1,0,2324.406,95.311,2419.717,184.5659662,173.3007221,1.32,359.1866883
1-Apr-24,30-Apr-24,562123,562123,562111,560067,51.23,0,25.989,102.913,128.902,1264.85942737,189.3773303,61.476,1515.71275767
1-Apr-24,30-Apr-24,562123,562123,400072,421302,3.14,0,954.495,41.883,996.378,218.27702778,203.30539788,3.768,425.35042566
1-Apr-24,30-Apr-24,562123,562123,562111,462001,0.5,0,25.989,1489.141,1515.13,167.6024455,15.017471,0.6,183.2199165
1-Apr-24,30-Apr-24,562123,562123,562111,600067,28.69,0,25.989,401.9,427.889,2629.80880183,269.03654447,34.428,2933.2733463
1-Apr-24,30-Apr-24,562123,562123,562111,641018,14.18,0,25.989,333.972,359.961,1084.0189563,114.66984558,17.016,1215.70480188
1-Apr-24,30-Apr-24,562123,562123,562111,577004,5.13,0,25.989,223.888,249.877,265.67356347,30.75504255,6.156,302.58460602
Error,,,,,,,,,,,,,,
1-Apr-24,30-Apr-24,562123,562123,562111,683511,10.85,0,25.989,506.682,532.671,1249.20471375,123.34519785,13.02,1385.5699116
1-Apr-24,30-Apr-24,562123,562123,562111,638003,1.96,0,25.989,326.06,352.049,146.36250412,15.55534988,2.352,164.269854
1-Apr-24,30-Apr-24,562123,562123,520001,522007,0.95,0,693.612,42.096,735.708,50.470707,44.9082366,1.14,96.5189436
1-Apr-24,30-Apr-24,562123,562123,711302,711303,34.15,0,1876.401,32.654,1909.055,4286.77296985,4314.48685595,40.98,8642.2398258
1-Apr-24,30-Apr-24,562123,562123,520001,500078,18.69,0,693.612,292.685,986.297,2042.05063524,972.49712511,22.428,3036.97576035
1-Apr-24,30-Apr-24,562123,562123,562111,452010,3.64,0,25.989,1307.326,1333.315,1071.90112484,96.75286348,4.368,1173.02198832
1-Apr-24,30-Apr-24,562123,562123,134003,302015,4.17,0,2324.406,419.986,2744.392,1002.94522314,682.69128312,5.004,1690.64050626
1-Apr-24,30-Apr-24,562123,562123,134003,180010,0.26,0,2324.406,397.254,2721.66,61.20984324,42.45358728,0.312,103.97543052
1-Apr-24,30-Apr-24,562123,562123,562111,629002,3.84,0,25.989,725.907,751.896,630.683424,59.64862464,4.608,694.94004864
1-Apr-24,30-Apr-24,562123,562123,380001,380009,0.08,0,1461.998,2.61,1464.608,7.41524112,7.84027648,0.096,15.3515176
1-Apr-24,30-Apr-24,562123,562123,160014,136118,1.08,0,2370.377,101.947,2472.324,185.94346932,173.61243216,1.296,360.85190148
1-Apr-24,30-Apr-24,562123,562123,134003,226004,15.09,0,2324.406,732.696,3057.102,4686.37276338,2560.11546834,18.108,7264.59623172
1-Apr-24,30-Apr-24,562123,562123,134003,141001,3.66,0,2324.406,124.185,2448.591,637.77336588,578.62666422,4.392,1220.7920301
1-Apr-24,30-Apr-24,562123,562123,562111,625016,10.92,0,25.989,495.222,521.211,1229.2320222,121.76325252,13.104,1364.09927472
1-Apr-24,30-Apr-24,562123,562123,562111,571401,1.99,0,25.989,137.747,163.736,64.66034365,8.67332744,2.388,75.72167109
1-Apr-24,30-Apr-24,562123,562123,562111,575003,14.02,0,25.989,328.406,354.395,1054.30751902,111.89329754,16.824,1183.02481656
1-Apr-24,30-Apr-24,562123,562123,122413,250001,1.14,0,2068.416,148.918,2217.334,186.5813376,161.21117796,1.368,349.16051556
1-Apr-24,30-Apr-24,562123,562123,400072,400057,2.05,0,954.495,6.625,961.12,126.31522925,131.357932,2.46,260.13316125
1-Apr-24,30-Apr-24,562123,562123,562111,570004,12.4,0,25.989,180.476,206.465,521.5927444,64.1118068,14.88,600.5845512
1-Apr-24,30-Apr-24,562123,562123,400072,440019,0.08,0,954.495,763.58,1718.075,18.4940084,6.2767348,0.096,24.8667432
1-Apr-24,30-Apr-24,562123,562123,520001,524004,2.31,0,693.612,290.295,983.907,251.15159916,120.09137679,2.772,374.01497595
